scenario,scenario_label,year_month,q,q_label,mean,sd,median,lower_95,upper_95
Audio_only,Audio-only sensitivity,2022-12,0,q = 0: Richness,44.623,3.014624182043088,45,39,51
Audio_only,Audio-only sensitivity,2022-12,1,q = 1: Exponential Shannon,6.5727681150968325,0.378506036209539,6.572952865804583,5.86634351943811,7.360066646504163
Audio_only,Audio-only sensitivity,2022-12,2,q = 2: Inverse Simpson,3.1480014688012274,0.15916648176239248,3.150051801807773,2.8572520454099966,3.507864002060212
Audio_only,Audio-only sensitivity,2023-01,0,q = 0: Richness,45.058,2.8811346613681454,45,39,51
Audio_only,Audio-only sensitivity,2023-01,1,q = 1: Exponential Shannon,6.697480518787192,0.3354698911078409,6.6953974775382505,6.040700926535907,7.35884961220394
Audio_only,Audio-only sensitivity,2023-01,2,q = 2: Inverse Simpson,3.4379631462072515,0.13957177477125068,3.4321343742313406,3.176675750102314,3.7158630032330766
Audio_only,Audio-only sensitivity,2023-02,0,q = 0: Richness,66.574,3.416752580769962,67,60,73
Audio_only,Audio-only sensitivity,2023-02,1,q = 1: Exponential Shannon,6.505829279937588,0.29018211731830745,6.507812934168191,5.933677282104514,7.085349635508556
Audio_only,Audio-only sensitivity,2023-02,2,q = 2: Inverse Simpson,3.282338243872657,0.11118828341571783,3.2787325600248556,3.0822931967390437,3.52217033469498
Audio_only,Audio-only sensitivity,2023-03,0,q = 0: Richness,75.381,3.8241944855699304,75,68,83
Audio_only,Audio-only sensitivity,2023-03,1,q = 1: Exponential Shannon,8.246030697733772,0.32474181286378934,8.240075735366982,7.60968367416948,8.87770322323382
Audio_only,Audio-only sensitivity,2023-03,2,q = 2: Inverse Simpson,4.5551146745810405,0.13258726943853216,4.556338506254908,4.297485511389844,4.8204321399262975
Audio_only,Audio-only sensitivity,2023-04,0,q = 0: Richness,90.983,4.2188279781841675,91,83,100
Audio_only,Audio-only sensitivity,2023-04,1,q = 1: Exponential Shannon,12.532401040825471,0.4601910562907355,12.524321172165894,11.6652459216909,13.455016294085183
Audio_only,Audio-only sensitivity,2023-04,2,q = 2: Inverse Simpson,7.083223620970729,0.2790886349856003,7.077465587572046,6.5561539271253615,7.694575665532642
Audio_only,Audio-only sensitivity,2023-05,0,q = 0: Richness,86.735,4.978911986023108,87,77.34166666666667,96
Audio_only,Audio-only sensitivity,2023-05,1,q = 1: Exponential Shannon,10.642772183048288,0.37996352791721927,10.644213176887435,9.884806135121014,11.39193378062836
Audio_only,Audio-only sensitivity,2023-05,2,q = 2: Inverse Simpson,6.031524292675499,0.16037231355829865,6.033867570404883,5.706604194655906,6.340355121292195
Audio_only,Audio-only sensitivity,2023-06,0,q = 0: Richness,87.111,4.327979945703355,87,79,95
Audio_only,Audio-only sensitivity,2023-06,1,q = 1: Exponential Shannon,8.463893737432045,0.4496050582754194,8.437059829680168,7.667057266350954,9.438580869889297
Audio_only,Audio-only sensitivity,2023-06,2,q = 2: Inverse Simpson,4.300465395776272,0.20475320466638938,4.27984064417149,3.9627751227956693,4.755740837816969
Audio_only,Audio-only sensitivity,2023-07,0,q = 0: Richness,67.08,3.715023741700906,67,60,75
